iter	Passed	Remaining
0	47	46965
1	47	23655
2	47	15876
3	48	11987
4	48	9655
5	48	8094
6	49	6982
7	49	6144
8	49	5495
9	50	4973
10	50	4551
11	51	4202
12	51	3901
13	51	3644
14	52	3422
15	52	3227
16	52	3064
17	53	2908
18	53	2770
19	54	2652
20	54	2543
21	54	2442
22	55	2349
23	55	2264
24	56	2188
25	56	2115
26	56	2048
27	57	1985
28	57	1927
29	57	1873
30	58	1822
31	58	1775
32	59	1730
33	59	1689
34	59	1650
35	60	1612
36	60	1576
37	60	1543
38	61	1511
39	61	1480
40	62	1451
41	62	1424
42	62	1398
43	63	1372
44	63	1348
45	63	1325
46	64	1303
47	64	1282
48	65	1261
49	65	1242
50	65	1223
51	66	1205
52	66	1188
53	66	1171
54	67	1155
55	67	1139
56	67	1124
57	68	1110
58	68	1096
59	69	1082
60	69	1070
61	69	1057
62	70	1044
63	70	1032
64	71	1021
65	71	1010
66	71	999
67	71	986
68	72	975
69	72	965
70	73	956
71	73	947
72	74	939
73	74	931
74	74	922
75	75	914
76	75	905
77	75	897
78	76	889
79	76	882
80	77	874
81	77	866
82	77	859
83	78	852
84	78	844
85	78	837
86	79	829
87	79	823
88	79	816
89	80	810
90	80	804
91	80	798
92	81	792
93	81	786
94	82	781
95	82	775
96	82	770
97	83	765
98	83	760
99	83	754
100	84	749
101	84	743
102	84	738
103	85	733
104	85	729
105	85	724
106	86	720
107	86	715
108	87	711
109	87	707
110	87	702
111	88	698
112	88	694
113	88	690
114	89	686
115	89	682
116	89	678
117	90	674
118	90	670
119	90	667
120	91	663
121	91	659
122	91	655
123	92	651
124	92	648
125	92	645
126	93	641
127	93	637
128	94	634
129	94	631
130	94	628
131	95	625
132	95	622
133	95	619
134	96	616
135	96	614
136	97	611
137	97	607
138	97	605
139	98	602
140	98	599
141	98	597
142	99	594
143	99	591
144	100	589
145	101	591
146	101	588
147	101	587
148	102	585
149	102	583
150	103	580
151	103	578
152	104	575
153	104	573
154	104	571
155	105	569
156	105	566
157	105	564
158	106	562
159	106	559
160	107	557
161	107	555
162	107	553
163	108	551
164	108	549
165	108	547
166	109	545
167	109	543
168	110	541
169	110	541
170	111	539
171	111	538
172	112	536
173	112	533
174	112	532
175	113	530
176	113	528
177	113	525
178	114	524
179	114	522
180	114	519
181	115	517
182	115	515
183	115	513
184	116	511
185	116	509
186	116	508
187	117	506
188	117	504
189	117	502
190	118	500
191	118	499
192	118	497
193	119	495
194	119	494
195	120	492
196	120	490
197	120	488
198	121	487
199	121	485
200	121	484
201	122	482
202	122	480
203	122	479
204	123	477
205	123	476
206	123	474
207	124	473
208	124	471
209	124	469
210	125	468
211	125	467
212	125	465
213	126	463
214	126	462
215	127	461
216	127	459
217	127	458
218	128	456
219	128	455
220	128	453
221	129	452
222	129	451
223	129	449
224	130	448
225	130	446
226	130	445
227	131	444
228	131	442
229	131	441
230	132	440
231	132	438
232	132	437
233	133	436
234	133	435
235	133	433
236	134	432
237	134	431
238	135	429
239	135	428
240	135	427
241	136	426
242	136	424
243	136	423
244	137	422
245	137	421
246	137	420
247	138	418
248	138	417
249	138	416
250	139	415
251	139	414
252	139	412
253	140	411
254	140	410
255	140	409
256	141	408
257	141	407
258	141	406
259	142	404
260	142	403
261	142	402
262	143	401
263	143	400
264	144	399
265	144	398
266	144	397
267	145	396
268	145	395
269	145	394
270	146	393
271	146	392
272	146	390
273	147	389
274	147	388
275	147	387
276	148	386
277	148	385
278	148	384
279	149	383
280	149	382
281	149	381
282	150	380
283	150	379
284	150	378
285	151	377
286	151	376
287	152	375
288	152	374
289	152	373
290	153	372
291	153	371
292	153	370
293	154	369
294	154	368
295	154	368
296	155	367
297	155	366
298	155	365
299	156	364
300	156	363
301	156	362
302	157	361
303	157	360
304	157	359
305	158	358
306	158	358
307	158	357
308	159	356
309	159	355
310	160	354
311	160	353
312	160	352
313	161	351
314	161	351
315	161	350
316	162	349
317	162	348
318	162	347
319	163	346
320	163	345
321	163	345
322	164	344
323	164	343
324	164	342
325	165	341
326	165	340
327	165	339
328	166	339
329	166	338
330	166	337
331	167	336
332	167	335
333	168	335
334	168	334
335	168	333
336	169	332
337	169	331
338	169	331
339	170	330
340	170	329
341	170	328
342	171	327
343	171	327
344	171	326
345	172	325
346	172	324
347	172	323
348	173	323
349	173	322
350	173	321
351	174	320
352	174	320
353	174	319
354	175	318
355	175	317
356	176	317
357	176	316
358	176	315
359	177	314
360	177	314
361	177	313
362	178	312
363	178	311
364	178	311
365	179	310
366	179	309
367	179	308
368	180	308
369	180	307
370	180	306
371	181	306
372	181	305
373	182	304
374	182	303
375	182	303
376	183	302
377	183	301
378	183	301
379	184	300
380	184	299
381	184	298
382	185	298
383	185	297
384	185	296
385	186	296
386	186	295
387	186	294
388	187	294
389	187	293
390	187	292
391	188	292
392	188	291
393	189	290
394	189	290
395	189	289
396	190	288
397	190	287
398	190	287
399	191	286
400	191	285
401	191	285
402	192	284
403	192	283
404	192	283
405	193	282
406	193	281
407	193	281
408	194	280
409	194	280
410	194	279
411	195	278
412	195	278
413	195	277
414	196	276
415	196	276
416	197	275
417	197	274
418	197	274
419	198	273
420	198	272
421	198	272
422	199	271
423	199	270
424	199	270
425	200	269
426	200	269
427	200	268
428	201	267
429	201	267
430	201	266
431	202	265
432	202	265
433	202	264
434	203	264
435	203	263
436	203	262
437	204	262
438	204	261
439	205	260
440	205	260
441	205	259
442	206	259
443	206	258
444	206	257
445	207	257
446	207	256
447	207	256
448	208	255
449	208	254
450	208	254
451	209	253
452	209	253
453	209	252
454	210	251
455	210	251
456	211	250
457	211	250
458	211	249
459	212	249
460	212	248
461	212	247
462	213	247
463	213	246
464	214	246
465	214	245
466	214	245
467	215	244
468	215	243
469	215	243
470	216	242
471	216	242
472	216	241
473	217	241
474	217	240
475	217	239
476	218	239
477	218	238
478	218	238
479	219	237
480	219	237
481	220	236
482	220	235
483	220	235
484	221	234
485	221	234
486	221	233
487	222	233
488	222	232
489	222	231
490	223	231
491	223	230
492	223	230
493	224	229
494	224	229
495	224	228
496	225	228
497	225	227
498	226	226
499	226	226
500	226	225
501	227	225
502	227	225
503	228	224
504	228	224
505	229	223
506	230	223
507	230	223
508	230	222
509	231	222
510	232	222
511	232	221
512	232	221
513	233	220
514	233	219
515	233	219
516	234	218
517	234	218
518	234	217
519	235	217
520	235	216
521	235	215
522	236	215
523	236	214
524	236	214
525	237	213
526	237	212
527	237	212
528	237	211
529	238	211
530	238	210
531	238	210
532	240	210
533	244	213
534	244	212
535	245	212
536	246	212
537	247	212
538	248	212
539	249	212
540	251	213
541	251	212
542	251	211
543	252	211
544	252	210
545	252	210
546	253	209
547	253	209
548	253	208
549	254	208
550	254	207
551	255	206
552	255	206
553	255	205
554	256	205
555	256	204
556	256	204
557	257	203
558	257	203
559	257	202
560	258	202
561	258	201
562	258	200
563	259	200
564	259	199
565	259	199
566	260	198
567	260	198
568	261	197
569	261	197
570	261	196
571	262	196
572	262	195
573	262	195
574	263	194
575	263	193
576	263	193
577	264	192
578	264	192
579	264	191
580	265	191
581	265	190
582	265	190
583	266	189
584	266	189
585	266	188
586	267	188
587	267	187
588	267	186
589	268	186
590	268	185
591	269	185
592	269	184
593	269	184
594	270	183
595	270	183
596	270	182
597	271	182
598	271	181
599	272	181
600	272	180
601	272	180
602	273	179
603	273	179
604	273	178
605	274	178
606	274	177
607	274	177
608	275	176
609	275	176
610	275	175
611	276	175
612	276	174
613	277	174
614	277	173
615	277	173
616	278	172
617	278	172
618	278	171
619	279	171
620	279	170
621	279	170
622	280	169
623	280	169
624	280	168
625	281	167
626	281	167
627	281	166
628	282	166
629	282	165
630	282	165
631	283	164
632	283	164
633	283	163
634	284	163
635	284	162
636	284	162
637	285	161
638	285	161
639	285	160
640	286	160
641	286	159
642	287	159
643	287	158
644	287	158
645	288	157
646	288	157
647	288	156
648	289	156
649	289	155
650	289	155
651	290	154
652	290	154
653	290	153
654	291	153
655	291	152
656	292	152
657	292	151
658	292	151
659	293	150
660	293	150
661	293	149
662	294	149
663	294	148
664	294	148
665	295	148
666	295	147
667	295	147
668	296	146
669	296	146
670	296	145
671	297	145
672	297	144
673	297	144
674	298	143
675	298	143
676	299	142
677	299	142
678	299	141
679	300	141
680	300	140
681	301	140
682	301	139
683	302	139
684	302	139
685	302	138
686	303	138
687	303	137
688	304	137
689	304	136
690	304	136
691	305	135
692	305	135
693	305	134
694	306	134
695	306	133
696	307	133
697	307	133
698	307	132
699	308	132
700	308	131
701	308	131
702	309	130
703	309	130
704	310	129
705	310	129
706	310	128
707	311	128
708	311	127
709	311	127
710	312	126
711	312	126
712	313	126
713	313	125
714	313	125
715	314	124
716	314	124
717	314	123
718	315	123
719	315	122
720	316	122
721	316	121
722	316	121
723	317	120
724	317	120
725	318	120
726	318	119
727	318	119
728	319	118
729	319	118
730	319	117
731	320	117
732	320	116
733	321	116
734	321	115
735	321	115
736	322	114
737	322	114
738	322	114
739	323	113
740	323	113
741	324	112
742	324	112
743	324	111
744	325	111
745	325	110
746	325	110
747	326	109
748	326	109
749	327	109
750	327	108
751	327	108
752	328	107
753	328	107
754	328	106
755	329	106
756	329	105
757	329	105
758	330	104
759	330	104
760	331	104
761	331	103
762	331	103
763	332	102
764	332	102
765	333	101
766	333	101
767	333	100
768	334	100
769	334	99
770	334	99
771	335	99
772	335	98
773	336	98
774	336	97
775	336	97
776	337	96
777	337	96
778	338	95
779	338	95
780	338	95
781	339	94
782	339	94
783	339	93
784	340	93
785	340	92
786	341	92
787	341	91
788	341	91
789	342	90
790	342	90
791	343	90
792	343	89
793	343	89
794	344	88
795	344	88
796	345	87
797	345	87
798	345	86
799	346	86
800	346	86
801	346	85
802	347	85
803	347	84
804	347	84
805	348	83
806	348	83
807	348	82
808	349	82
809	349	81
810	349	81
811	350	81
812	350	80
813	351	80
814	351	79
815	352	79
816	353	79
817	353	78
818	353	78
819	353	77
820	354	77
821	354	76
822	355	76
823	355	75
824	355	75
825	356	74
826	356	74
827	356	74
828	357	73
829	357	73
830	357	72
831	358	72
